"sample.depths","sample.ages","upland.sum","Abies","Acer.rubrum","Acer.saccharum","Alnus","Betula","Carya","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus","Juglans.cinerea","Juglans.nigra","Larix","Ostrya","Picea","Pinus.subg..Strobus","Pinus.undiff.","Populus","Quercus","Salix","Taxus","Tilia","Tsuga","Ulmus","Ambrosia","Artemisia","Asteraceae.undiff.","Chenopodiaceae","Cyperaceae","Plantago","Poaceae","Polygonum","Rosaceae"
150,998,523,34,0,5,9,302,0,0,5,0,0,1,3,0,0,0,0,40,5,69,0,8,1,0,2,9,3,12,6,1,2,3,3,0,0,0
170,1136,553,32,0,4,13,386,0,0,12,0,0,0,0,0,0,1,1,16,0,67,0,2,0,0,0,7,1,4,3,1,0,0,0,0,2,1
180,1206,444,22,0,5,11,305,0,0,0,0,0,0,0,0,1,0,0,16,2,57,0,6,0,0,0,6,1,5,1,1,1,4,0,0,0,0
195,1310,599,29,1,9,20,356,0,0,0,0,0,1,1,0,1,0,0,26,7,111,0,12,3,0,0,5,2,9,4,1,0,0,0,1,0,0
210,1414,684,45,0,6,15,337,0,0,0,0,0,0,2,0,0,0,0,55,6,180,0,14,0,0,0,8,3,2,7,0,0,3,0,0,0,1
220,1483,518,31,0,4,16,307,0,0,0,0,0,0,2,0,1,0,0,33,4,83,0,9,1,0,1,3,1,14,2,0,1,4,0,1,0,0
230,1552,762,41,0,5,12,462,0,0,0,0,1,0,0,0,1,2,0,60,11,128,0,18,0,0,0,6,6,2,2,0,4,0,0,0,0,1
240,1622,891,43,5,8,14,497,3,0,9,0,0,2,6,0,2,1,0,57,15,147,0,25,1,0,0,8,4,27,9,0,5,2,0,1,0,0
250,1691,750,28,1,6,8,426,1,0,0,5,0,0,3,3,0,2,23,42,13,129,0,16,1,0,0,4,6,19,4,0,2,2,0,2,2,2
260,1760,1333,35,0,13,34,720,0,0,7,0,0,0,7,6,0,4,0,72,46,314,0,33,0,0,0,15,5,4,8,5,3,0,0,2,0,0
270,1830,1302,47,2,6,27,713,0,0,0,1,0,2,9,2,1,5,0,75,62,283,0,37,0,0,0,11,8,8,0,0,3,0,0,0,0,0
280,1899,1171,54,0,8,0,621,1,2,5,6,0,2,7,2,0,3,5,66,40,269,0,38,2,0,0,7,10,6,14,0,2,1,0,0,0,0
290,1968,932,56,0,2,4,452,0,0,0,0,0,1,0,0,0,0,0,46,52,256,0,26,0,0,0,6,8,4,12,1,5,0,0,1,0,0
300,2037,1014,76,3,9,2,460,0,0,0,0,2,0,7,0,1,0,1,51,30,312,0,30,0,0,0,7,6,6,11,0,0,0,0,0,0,0
310,2107,1020,50,0,0,1,509,0,0,4,0,2,0,2,0,0,0,0,61,48,279,0,25,0,0,2,9,7,3,8,6,3,1,0,0,0,0
320,2231,946,55,1,6,3,415,0,0,3,0,1,0,5,0,0,4,0,46,51,306,0,32,0,0,0,2,3,2,3,1,4,2,0,0,0,1
330,2410,1092,50,3,16,18,526,0,0,3,0,0,2,6,2,0,0,0,51,54,296,0,25,0,0,1,9,9,7,7,0,3,0,0,4,0,0
