"sample.depths","sample.ages","Ambrosia.type","Betula","Carya","Asteraceae.undiff.","Fagus","Morus","Nyssa","Ostrya.Carpinus","Platanus","Quercus","Ulmus","Acer","Pinus","Populus","Amaranthaceae","Poaceae","Tilia","Alnus","Juglans","Artemisia","Fraxinus"
0,5,0.22742474916388,0.0133779264214047,0.0133779264214047,0.0702341137123746,0.0133779264214047,0.00334448160535117,0.0234113712374582,0.00668896321070234,0.00334448160535117,0.494983277591973,0.0234113712374582,0.00334448160535117,0.0501672240802676,0.00668896321070234,0.0167224080267559,0.0301003344481605,0,0,0,0,0
1,21,0.147766323024055,0.013745704467354,0,0.0859106529209622,0.013745704467354,0.00343642611683849,0,0,0.00343642611683849,0.539518900343643,0.0206185567010309,0,0.0481099656357388,0,0.013745704467354,0.0996563573883162,0.00343642611683849,0.00343642611683849,0.00343642611683849,0,0
2,37,0.16044776119403,0.0111940298507463,0.00373134328358209,0.253731343283582,0.00746268656716418,0.0186567164179104,0.0186567164179104,0.00373134328358209,0,0.41044776119403,0.0111940298507463,0.0149253731343284,0.0149253731343284,0.00373134328358209,0.0111940298507463,0.0335820895522388,0,0.00746268656716418,0.00373134328358209,0.0111940298507463,0
3,53,0.259615384615385,0.00961538461538462,0.00641025641025641,0.137820512820513,0,0.00320512820512821,0.00961538461538462,0.00641025641025641,0,0.41025641025641,0.0256410256410256,0,0.0384615384615385,0.0256410256410256,0.00641025641025641,0.0512820512820513,0,0.00320512820512821,0.00320512820512821,0,0.00320512820512821
4,69,0.330246913580247,0.0123456790123457,0.0216049382716049,0.095679012345679,0.00617283950617284,0,0.0277777777777778,0,0,0.342592592592593,0.00617283950617284,0,0.0462962962962963,0.0246913580246914,0.00617283950617284,0.0617283950617284,0.00308641975308642,0.0123456790123457,0,0.00308641975308642,0
5,85,0.360902255639098,0.0037593984962406,0.0112781954887218,0.0075187969924812,0.0037593984962406,0,0.0037593984962406,0,0,0.342105263157895,0.0338345864661654,0.0075187969924812,0.056390977443609,0,0.0075187969924812,0.12406015037594,0,0.0075187969924812,0.0150375939849624,0.0150375939849624,0
6,101,0.103448275862069,0.0129310344827586,0.0258620689655172,0.00862068965517241,0.00862068965517241,0,0.00431034482758621,0.00431034482758621,0,0.422413793103448,0.0172413793103448,0.0172413793103448,0.211206896551724,0,0.00862068965517241,0.116379310344828,0,0.00431034482758621,0.00431034482758621,0.0301724137931034,0
8,312,0.0268456375838926,0.00335570469798658,0.0503355704697987,0.0100671140939597,0.0335570469798658,0,0,0.0100671140939597,0,0.37248322147651,0.00671140939597315,0.0134228187919463,0.124161073825503,0.0100671140939597,0,0.308724832214765,0.00671140939597315,0.00671140939597315,0.00671140939597315,0.0100671140939597,0
10,524,0.096969696969697,0.0121212121212121,0.0575757575757576,0.0787878787878788,0.0121212121212121,0,0.00303030303030303,0,0,0.239393939393939,0.0272727272727273,0.0151515151515152,0.187878787878788,0.121212121212121,0.0181818181818182,0.0787878787878788,0.00606060606060606,0.00909090909090909,0.0242424242424242,0.00606060606060606,0.00606060606060606
12,775,0.0148698884758364,0.0185873605947955,0.0260223048327138,0.00743494423791822,0.00743494423791822,0,0,0,0,0.405204460966543,0.00371747211895911,0.0223048327137546,0.141263940520446,0.033457249070632,0.00743494423791822,0.286245353159851,0.0111524163568773,0,0.00743494423791822,0.00743494423791822,0
