"sample.depths","sample.ages","Abies","Acer.negundo.type","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum","Alnus.cf..A..incana","Alnus.cf..A..viridis","Ambrosia","Amorpha","Anemone.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium","Betula","Carya","Caryophyllaceae","Celtis","Chenopodium.type","Corylus","Cyperaceae","Dalea.candida.type","Dalea.purpurea","Dryopteris.type","Equisetum","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Galium","Humulus.type","Indeterminable","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea.type","Juglans.nigra.type","Larix","Morus","Nuphar","Nymphaea","Ostrya.type","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Platanus","Poaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogeton","Pteridium.type","Quercus","Rosaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Sparganium.type","Sphagnum","Taxus","Thalictrum","Thelypteris.palustris.type","Thuja.type","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Urtica.type","Vitis","Xanthium"
0,-29,0,1,0,1,0,8,1,18,1,0,0,6.5,3,0,0,52,0,3,1,3,4,7,0,0,0,0,3,2,0,0,2,0,1,0,0,2,2,1,1,0,4,56.5,7,46.5,0,19,4,20,0,0,55,1,2,0,3,0,1,0,0,0,0,4,0,0,0,4,1,1,0,1
50,185,4,0,0,0,1,22,2,7,1,0,0,10,0,0,0,31.5,0,0,0,0,6,24.5,0,0,0,0,1,0,0,1,3.5,0,1,0,0,2,0,0,0,5,10.5,153,41.5,165,1,13,0,6,3,0,23,0,0,0,5,0,0,2,0,0,1,1,0,0,0,10,2,0,0,0
100,546,1,0,0,0,0,23,2,9,0,0,0,13,5,0,0,39,0,0,0,2.5,6,12,0,0,1,0,7,0,0,0,2.5,1,1,0,0,1,2,0,0,3,9.5,114,27,96,0,8,1,6,2,0,25,1,0,0,1,1,0,0,0,1,0,7,0,0,0,4,2,1,0,0
200,1270,1,0,0,0,1,9,1,2,0,0,0,4,0,0,2,12,0,0,0,2,2,9,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,7,3.5,71.5,28,72,1,7,0,1,2,0,13,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1
300,1993,0.5,0,0,0,3,29,4,1,1,0,0,10,2,0,0,29,0,0,0,5,4,7,0,0,1,0,1,0,0,0,2.5,0,0,0,0,0,0,0,0,8,1.5,106,50,96,0,12,1,6,3,0,40,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,4,1,0,2
335,2246,0,0,0,0,1,27,3,4,1,1,0,14.5,10,0,0,35,0,0,0,1,5,16,0,1,1,0,4,0,1,0,10,0,1,0,0,0,0,0,0,9,2.5,31.5,71,98,0,17,0,7,2,1,35,0,0,0,2,0,0,0,0,0,0,4,0,0,1,4,1,0,0,0
350,2352,0,0,0,0,0,30,0,1,3,0,0,9,3,0,2,37,0,0,0,3,1,14,0,0,0,0,3,0,0,0,2,0,0,0,0,3,0,1,0,13,2,39.5,42.5,62,1,12,5,6,0,2,26,0,0,0,3,1,0,0,0,1,0,1,0,0,0,6,1,0,1,0
360,2422,0,0,1,0,1,31,0,6,0,0,0,18,7,0,0,40,0,0,0,4,15,15,0,0,0,2,4,1,0,0,13,0,0,0,0,1,0,0,0,11,5,28,32.5,45.5,2,21,0,9,0,0,47,0,0,0,2,2,0,0,0,0,0,5,1,0,0,4,1,0,0,0
385,2597,4.5,0,0,0,1,44,2,5,0,0,0,16,8.5,0,0,37.5,0,0,2,3,2,24,0,0,3,2,3,1,0,0,10.5,1,0,0,0,5,0,0,0,17,0.5,10,36,28.5,1,23,0,9,0,0,51,0,0,0,6,0,0,0,0,2,0,1,0,0,0,11,2,0,0,0
400,2702,2,1,0,0,0,26,0,6,1,0,0,10,6.5,0,1,31,0,0,0,3,11,14,0,0,0,0,8,1,0,0,3,0,0,0,1,1,0,0,0,6,3.5,13,22,21.5,0,15,1,10,0,0,35.5,0,0,0,4,1,0,0,0,0,0,0,0,0,0,4,1,1,0,0
424,2870,0,0,0,0,0,23,2,4,0,0,0,13,4,0,1,28,0,0,0,2,9,15,0,1,0,0,4,4,0,0,3,0,1,0,0,1,1,0,0,6,4,12.4,12.1,16,0,34,0,10,0,0,39,0,0,0,1,0,0,0,0,0,0,1,2,0,0,5,1,0,0,1
460,NA,0,1,0,0,2,26,1,11,3,0,0,31,10,1,0,15,0,0,0,2,3,15,1,0,1,0,4,1,1,0,4,0,0,0,0,1,0,1,0,13,2.5,7,9,15.5,1,35,3,3,1,1,41,2,0,0,10,0,0,0,0,0,1,1,0,0,0,5,0,0,0,0
502,NA,1,0,0,1,0,18,0,12,2,0,0,33,6,2,0,18,1,0,0,2,3,9.5,0,0,0,0,3,0,0,0,3,0,1,0,0,0,0,1,0,1,0,15,3.5,16,1,34,0,2,2,2,28,0,0,0,5,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1
524,NA,1,1,0,0,2,34,4,15,3,0,0,58.5,8,0,0,16,0,0,0,2.5,2,20,0,0,1,0,3,1,0,0,4,0,0,0,0,0,0,0,0,2,0,23.5,10,22,1,64,2,2,3,0,32,0,0,1,5,0,0,0,0,1,0,3,0,0,1,10,2,0,0,0
580,NA,0,0,0,0,0,22,2,10,0,0,1,41,3,0,0,9,0,0,0,6,5,19,0,0,2,2,2,0,1,0,4.5,0,0,1,0,2,1,0,0,2,4.5,1.5,3.5,13,0,48,1,2,4,0,23,0,0,0,5,0,0,0,0,2,0,1,0,0,1,3,0,0,0,0
