"sample.depths","sample.ages","upland.sum","Ambrosia.type","Betula","Carya","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Juglans.cinerea","Ostrya.Carpinus","Platanus","Quercus","Tsuga","Pinus","Prunus.Sorbus","Acer.rubrum","Alnus.incana.type","Poaceae.undiff.","Ilex","Juglans.nigra","Rumex","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Acer.saccharum.type","Artemisia","Castanea","Corylus","Nyssa","Plantago.lanceolata","Cornus","Myrica","Cerealia","Rhamnaceae.Vitaceae","Ericaceae","Salix","Tilia","Thalictrum","Alnus.viridis.type","Caprifoliaceae","Picea","Polygonum","Abies","Anacardiaceae","Onagraceae","Potentilla.type","Sanguisorba","Caryophyllaceae","Cupressaceae","Ranunculus"
20,0,300,2,6,3,1,1,1,5,1,2,1,237,1,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,88,330,9,54,3,19,0,0,2,2,0,0,165,3,54,0,4,1,5,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,177,300,17,35,9,7,2,0,1,2,2,0,122,6,45,1,1,2,4,3,2,0,0,3,1,4,3,9,1,14,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,265,299,4,30,10,5,5,0,0,1,8,1,117,9,66,1,0,5,3,2,0,0,0,3,0,0,0,9,0,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,722,299,1,17,5,3,3,0,1,0,5,1,126,11,78,1,0,2,2,2,0,0,0,1,0,0,0,15,0,19,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2129,300,0,15,7,20,9,0,0,1,6,1,115,6,51,0,2,0,1,1,1,0,0,5,0,0,0,25,1,31,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2833,290,2,13,7,24,5,0,0,1,4,1,130,1,60,0,1,1,1,0,0,0,0,0,0,0,1,15,1,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
60,3536,298,0,13,7,32,6,0,3,0,6,1,111,2,53,0,0,3,6,10,1,0,1,1,0,1,1,27,0,8,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
65,4239,579,1,12,6,6,10,0,0,1,2,0,129,3,46,0,0,1,0,282,0,0,0,2,0,0,2,27,0,42,0,0,1,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
70,4943,300,1,5,2,17,4,0,1,0,8,1,116,8,39,0,1,0,7,16,0,0,0,0,0,3,0,32,0,34,0,0,0,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0
80,5624,298,1,9,0,17,4,2,2,1,2,0,92,15,37,0,1,3,3,3,1,0,0,3,1,1,0,39,1,55,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0
90,6306,301,2,4,4,22,6,0,0,0,3,0,106,18,20,0,1,2,12,5,0,0,0,1,2,2,0,29,1,56,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
100,6988,300,1,3,2,24,7,0,0,1,2,0,103,16,22,0,4,2,3,4,0,0,0,1,1,1,0,29,0,70,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
105,7328,300,2,6,2,19,6,1,1,0,2,1,95,22,28,0,1,0,9,6,0,0,1,1,1,1,0,31,1,55,0,0,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0,0,0,0,0
107.5,7951,298,0,9,1,21,2,1,0,0,3,0,16,2,112,1,0,0,8,2,0,0,5,1,1,0,0,0,4,1,0,0,0,0,0,0,4,0,0,52,1,27,0,11,0,0,3,10,0,0,0
110,8574,298,0,14,0,42,0,2,0,0,3,0,12,1,91,1,0,3,13,0,0,0,8,0,1,1,1,0,3,0,0,1,4,0,0,0,3,0,0,50,0,28,0,8,0,0,1,7,0,0,0
115,9820,299,1,8,0,50,1,3,0,0,9,0,7,0,87,3,0,0,3,1,0,0,11,0,0,0,2,0,5,0,0,0,2,0,0,0,3,0,0,35,0,39,0,7,0,1,0,20,1,0,0
120,11066,300,1,8,0,27,1,1,0,0,1,0,18,1,65,0,0,1,3,2,0,0,16,0,5,0,2,0,6,4,0,1,1,0,0,0,0,0,2,20,1,65,0,3,0,0,0,45,0,0,0
125,12311,299,0,8,1,54,1,1,0,0,1,0,15,2,66,0,0,2,12,1,0,1,14,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,16,0,43,0,7,0,0,0,46,0,1,1
130,13557,299,1,10,0,36,0,0,0,0,2,0,6,0,28,1,0,1,12,0,0,0,19,0,7,0,2,0,0,0,0,1,1,0,0,0,3,0,2,0,0,70,0,3,0,1,1,91,0,0,1
140,NA,299,1,4,0,10,0,0,0,0,1,0,6,0,25,1,0,2,8,0,0,1,23,0,7,0,4,0,0,0,0,1,0,0,0,0,1,0,1,0,0,93,0,0,0,1,4,105,0,0,0
