"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum","Alnus","Betula","Carya","Corylus","Ephedra","Fraxinus","Juglans","Larix","Ostrya","Picea","Pinus.banksiana","Pinus.strobus","Pinus.undiff.","Quercus","Salix","Tilia","Tsuga","Ulmus","Ambrosia","Artemisia","Chenopodiaceae.Amaranthaceae","Cyperaceae","Poaceae"
1,-40,203,1,20,0,94,0,0,0,0,0,0,0,8,0,0,34,0,0,0,30,3,13,0,0,0,0
2,-39,425,5,17,10,127,1,1,0,0,0,10,0,25,0,0,63,38,0,2,66,5,47,0,8,0,0
6,-23,354,4,12,16,102,0,0,0,0,0,9,0,9,0,0,83,32,0,5,33,10,26,0,13,0,0
10,-17,370,8,7,9,128,0,0,0,0,0,4,0,7,0,0,81,25,0,2,44,7,40,0,7,0,1
12,-12,391,7,9,23,107,0,0,0,0,0,15,0,13,0,0,93,39,0,4,36,11,28,0,6,0,0
15,-4,359,7,22,11,111,0,0,0,0,2,6,0,11,0,0,94,17,0,3,29,7,27,0,12,0,0
18,0,407,9,28,14,121,0,0,0,0,5,7,0,13,0,0,112,17,0,0,38,11,25,0,7,0,0
22,7,211,3,12,2,77,0,0,0,0,1,0,0,5,0,0,59,0,0,0,25,1,24,0,2,0,0
24,13,301,4,16,5,111,1,0,0,0,0,6,0,19,0,0,83,5,0,0,27,2,18,0,4,0,0
27,23,359,6,29,9,128,1,3,0,0,1,5,0,20,0,0,117,3,0,1,18,1,13,0,4,0,0
29,31,337,11,30,9,116,0,3,0,0,0,2,0,16,0,0,97,2,0,3,25,3,19,0,1,0,0
34,81,258,8,23,3,133,0,1,0,0,0,0,0,11,0,0,43,0,0,1,16,0,19,0,0,0,0
36,NA,352,11,12,7,126,0,0,0,0,0,7,0,7,0,0,115,16,0,0,30,0,20,0,1,0,0
40,NA,304,7,7,1,129,0,0,0,0,0,8,0,21,0,0,71,14,0,1,27,3,12,0,2,0,1
42,NA,321,8,21,5,143,4,2,0,0,0,0,0,38,0,0,62,0,0,2,18,4,8,0,6,0,0
46,NA,296,0,23,0,155,1,0,0,0,1,0,0,44,0,0,36,0,0,2,23,3,5,0,3,0,0
