"sample.depths","sample.ages","upland.sum","Artemisia","Betula","Corylus","Ericaceae","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Ostrya.Carpinus","Pinus.undiff.","Platanus","Polygonum.lapathifolium.type","Populus.tremuloides.type","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Poaceae","Cyperaceae.undiff.","Plantago","Pinus.strobus","Chenopodium.type","Pinus.banksiana.P..resinosa","Rumex.undiff.","Fabaceae.cf..Melilotus.officinalis","Carya","Iva.xanthifolia","Amorpha.canescens","Thalictrum","Vitis","Acer.saccharinum","Fabaceae.cf..Trifolium","Cupressaceae","Larix","Populus.balsamifera.type","Rumex.acetosa.type","Abies","Picea","Urtica.type","Acer.saccharum","Iva.annua","Tilia","Tsuga.canadensis","Caryophyllaceae","Juglans.cinerea","Juglans.nigra","Apiaceae","Acer.rubrum","Acer.negundo","Myrica.gale","Asteraceae.subf..Cichorioideae","Rosaceae","Brassicaceae","Celtis","Phacelia.hastata.type","cf..Ceanothus"
180,-15,227,1,14,1,2,3,1,1,57,1,1,2,57,3,1,1,9,28,17,11,1,5,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,5,168,5,18,1,0,2,0,2,49,0,0,2,25,2,1,1,5,20,8,10,0,1,3,10,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,35,234,5,20,1,0,0,0,6,76,0,0,2,29,2,2,6,16,21,12,9,0,3,11,9,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,55,207,6,13,1,0,1,0,4,59,0,0,3,28,2,4,6,11,27,8,5,0,2,1,21,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,65,239,3,18,0,0,3,1,4,75,0,1,1,39,3,2,3,6,15,19,10,0,6,6,13,0,0,1,1,0,2,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,85,280,11,16,2,0,2,1,9,88,0,0,3,36,1,1,3,9,17,14,23,0,7,2,28,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,115,211,8,22,1,0,0,0,5,80,0,0,1,30,0,1,3,12,15,8,10,0,4,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
210,135,307,10,34,3,0,2,1,11,127,0,0,0,34,0,4,4,12,6,19,14,0,8,2,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
214,190,228,6,26,1,0,2,0,10,90,0,0,0,29,1,1,6,9,4,6,12,0,9,0,7,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
216,217,246,7,28,1,0,2,1,6,108,0,0,0,26,2,5,2,6,6,22,8,0,2,2,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
220,272,269,9,33,2,0,2,0,13,109,0,0,0,34,2,1,2,8,3,16,6,0,8,2,11,1,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
224,327,218,11,20,3,0,3,0,5,95,0,0,2,23,1,1,3,11,6,15,3,0,3,3,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
226,354,492,15,57,7,0,4,1,12,180,0,0,0,62,1,5,6,19,15,25,17,0,17,4,23,0,0,0,0,2,0,0,0,0,1,5,0,0,1,5,0,4,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
230,409,198,7,14,1,0,3,0,2,79,1,0,0,33,1,3,0,7,4,21,6,0,6,1,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
234,464,243,5,33,1,0,2,0,9,98,0,0,1,30,0,1,3,7,4,19,5,0,14,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
236,491,486,8,53,5,0,9,0,14,167,0,0,1,72,2,2,2,26,13,42,14,0,23,3,11,0,0,1,1,2,0,0,0,0,0,3,0,0,0,2,1,2,0,3,0,0,0,0,1,1,0,0,1,1,0,0,0,0
