"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Acer.undiff.","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Cannabaceae","Carya","Celtis","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Equisetum","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Impatiens","Indeterminable","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago","Platanus","Poaceae","Polypodium.type","Populus","Potamogetonaceae","Pteridium.type","Quercus","Ranunculaceae.undiff.","Rosaceae","Rumex","Sagittaria","Salix","Sarcobatus.vermiculatus","Selaginella","Shepherdia.canadensis","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Urticaceae","Vitis"
1,3,0,0,0,14,4,1,115,3,4,6,1,29,0,0,7,0,2,1,18,27,0,0,38,2,6,8,0,16,0,0,3,10,0,0,0,1,0,0,11,5,0,0,55,3,3,32,0,2,0,0,69,0,1,1,0,31,0,0,0,2,3,0,2,4,3,35,12,0,0
10,27,0,1,0,26,1,3,91,1,4,8,0,12,0,0,8,0,1,1,23,31,0,0,28,6,6,12,0,18,0,2,2,0,2,1,1,4,4,0,8,2,0,0,45,0,3,52,0,2,0,0,79,0,0,0,3,15,0,0,0,0,0,0,5,4,6,24,10,0,2
20,55,0,1,0,25,3,4,79,1,3,6,1,17,0,0,12,0,0,2,14,33,0,0,23,6,5,11,0,9,0,3,2,1,3,1,0,1,1,0,6,1,0,0,33,1,1,41,0,4,1,0,93,0,0,0,0,11,0,0,0,0,0,0,4,4,1,24,2,0,0
30,82,0,2,0,39,2,3,78,3,2,15,0,20,0,0,4,0,0,1,10,32,0,0,25,13,3,23,0,68,3,0,2,0,1,3,0,3,0,0,6,0,0,0,44,5,3,44,0,14,1,2,84,0,3,26,0,14,0,0,0,0,0,0,2,6,9,24,3,0,0
40,110,0,0,0,17,2,3,28,1,0,1,0,18,0,0,3,0,0,0,0,0,0,0,60,16,3,19,0,0,0,0,0,0,0,0,0,1,1,0,7,1,0,0,36,0,0,21,0,0,0,0,60,0,0,0,2,3,0,0,0,0,0,0,3,3,1,19,0,0,0
50,137,0,2,0,19,2,0,15,0,5,5,0,22,0,1,8,0,0,2,6,15,0,0,46,7,3,10,0,3,0,0,1,0,2,0,0,2,2,0,7,1,0,0,46,0,4,32,0,2,1,3,91,0,0,5,2,2,0,0,0,0,0,0,6,4,0,38,2,0,0
60,263,0,0,2,25,2,2,5,0,0,3,0,12,0,0,10,0,0,2,2,0,0,0,49,0,7,7,0,60,0,0,1,0,7,0,0,2,0,0,14,1,0,0,57,0,1,8,0,0,0,0,83,0,0,0,0,8,1,0,0,0,0,1,2,4,1,27,9,0,0
70,489,1,0,0,16,1,0,2,0,6,2,0,15,0,0,7,0,0,5,3,13,0,0,44,8,5,13,0,5,0,0,0,0,2,0,1,4,0,0,15,5,0,0,43,0,5,4,0,3,0,2,69,0,0,0,0,5,0,0,0,0,0,0,1,13,0,31,5,0,0
80,715,0,1,0,18,0,0,3,0,4,1,0,14,0,0,9,0,0,2,5,2,0,0,45,7,3,10,0,2,0,0,1,1,2,0,0,0,2,0,22,3,0,0,23,0,4,0,0,2,0,0,102,0,0,0,0,0,0,0,0,0,0,0,1,1,0,32,2,0,0
90,940,1,2,0,39,3,0,4,0,3,1,0,17,0,0,10,0,0,1,4,0,0,0,23,5,3,8,1,23,0,0,0,2,2,1,0,6,2,0,14,0,0,0,33,0,10,3,0,2,0,0,106,0,0,6,0,7,0,0,0,0,0,0,3,6,0,31,10,0,1
