"sample.depths","sample.ages","upland.sum","Alnus.incana.type","Alnus.viridis.type","Betula","Cyperaceae","Ericaceae","Fraxinus.nigra.type","Larix","Picea.mariana.type","Quercus","Asteraceae.subf..Asteroideae.undiff.","Poaceae","Onagraceae","Myrica.gale","Pinus.banksiana.type","Juniperus.communis.Thuja.occidentalis.type","Picea.undiff.","Ambrosia.type","Artemisia","Salix","Ulmus","Amaranthaceae","Rosaceae","Abies.balsamea","Acer.saccharum","Pinus.undiff.","Populus.tremuloides.type","Pinus.strobus","Viburnum.edule","Morus.rubra.type","Acer.rubrum","Ostrya.Carpinus","Populus.balsamifera.type","Juniperus.type","Thalictrum","Fagus","Ribes","cf..Oxyria.digyna","Acer.spicatum","Taxus","Ranunculaceae.undiff.","Tsuga.canadensis","Carya.ovata"
0,0,422,1,178,100,3,4,2,2,94,1,3,10,1,1,8,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,511,476,0,142,115,14,3,0,1,153,1,2,0,0,3,10,0,16,1,4,1,1,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1022,449,2,159,116,14,3,0,3,107,1,1,6,0,0,11,2,14,1,1,1,0,0,2,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1533,558,3,228,117,15,5,1,1,130,1,2,6,0,3,15,0,20,0,0,3,0,0,1,3,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2044,479,7,176,101,12,2,1,2,125,0,0,6,0,4,14,1,12,0,0,1,1,0,0,7,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
50,2555,501,4,148,136,12,5,0,1,138,2,0,6,0,1,10,0,26,0,1,1,0,0,0,6,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60,3066,645,16,231,164,10,4,0,2,147,0,0,9,0,7,7,1,18,0,1,3,2,0,1,11,1,2,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
70,3577,562,7,211,177,14,3,0,2,101,0,2,4,0,3,8,0,11,0,4,1,0,0,0,8,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,4088,682,8,265,194,20,2,1,2,133,0,3,3,0,5,9,1,13,3,4,3,0,0,3,5,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
85,4343,495,8,200,135,11,1,3,0,107,0,1,1,0,1,9,0,7,1,2,0,2,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,4599,462,4,226,58,20,1,1,1,115,0,3,3,0,0,5,0,8,0,1,1,0,0,0,8,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
95,4854,433,7,146,157,8,1,0,1,90,1,0,1,0,0,3,0,7,0,0,2,0,1,1,2,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
100,5090,526,4,186,200,14,2,0,0,95,1,2,2,0,1,1,0,5,0,0,3,0,1,0,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
110,5522,798,6,286,314,22,1,0,1,118,0,1,6,0,1,8,2,12,0,2,1,0,0,0,7,0,1,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
120,5955,583,4,208,247,4,0,0,2,60,1,3,9,0,0,3,1,8,0,3,14,0,0,2,4,0,3,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
130,6387,772,5,222,432,4,0,1,2,86,1,0,0,0,0,4,0,4,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0
135,6604,450,1,170,200,0,0,1,1,62,0,1,3,0,0,5,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,6820,638,14,505,59,10,4,0,11,11,0,1,3,0,1,2,2,2,0,2,3,0,1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
143,NA,543,1,453,52,4,3,0,4,14,0,0,1,0,0,2,0,1,0,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
