"sample.depths","sample.ages","upland.sum","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Fagus","Fraxinus.nigra.type","Juglans.cinerea","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Salix","Tilia","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Fabaceae","Juniperus.type","Amaranthaceae","Poaceae","Brassicaceae","Acer.saccharum","Carya.ovata","Lythrum.salicaria","Pinus.banksiana.type","Pinus.strobus","Tsuga.canadensis","Picea.undiff.","Acer.rubrum","Alnus.incana.type","Cyperaceae","Ericaceae","Fraxinus.pennsylvanica.type","Larix","Picea.glauca.type","Acer.nigrum","Onagraceae","Ilex.Nemopanthus","Populus.balsamifera.type","Shepherdia.canadensis","Abies.balsamea","Taxus","Urticaceae","Rosaceae","Thalictrum","Acer.pensylvanicum","Acer.saccharinum","Juniperus.communis.Thuja.occidentalis.type","Corylus.cornuta","Myrica.gale","Juglans.nigra","Pinaceae","Cornus","Castanea.dentata","Acer.spicatum","Viburnum","Elaeagnus.commutata","Caryophyllaceae","Plantago"
0,1,492,11,84,1,131,29,15,1,5,1,6,9,2,58,1,3,3,11,3,2,3,18,2,16,4,1,37,14,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,219,534,5,1,2,125,56,12,2,0,5,22,9,0,28,1,1,1,13,0,2,0,6,1,6,5,0,48,71,70,5,3,14,11,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,548,379,11,1,0,109,36,13,1,0,0,13,10,0,20,0,2,0,13,0,2,0,3,0,12,1,0,18,43,61,4,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.5,822,449,4,0,2,84,71,8,3,0,0,5,11,1,9,0,4,1,12,0,13,0,0,0,17,3,0,4,53,131,1,1,6,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1096,470,1,2,0,121,76,22,1,0,0,6,11,4,20,0,9,1,15,0,3,1,0,0,21,6,0,44,78,23,1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62.5,1370,651,1,0,4,159,100,30,2,0,1,10,5,2,36,2,3,1,19,0,3,0,0,0,15,4,0,6,34,191,1,0,13,1,0,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1644,391,4,0,0,104,46,4,5,0,0,6,11,0,14,0,1,0,13,0,1,0,0,0,14,0,0,12,25,128,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87.5,1918,797,1,0,0,167,109,29,1,0,2,4,6,3,44,1,2,1,33,0,20,0,2,0,40,3,0,6,84,212,1,3,4,0,0,9,5,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2192,397,2,1,1,71,85,11,4,0,1,3,7,0,14,0,9,1,9,0,4,0,1,0,12,3,0,59,22,70,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112.5,2466,606,0,0,0,144,105,23,3,0,1,2,4,1,27,0,12,0,11,0,7,0,0,0,25,5,0,18,53,136,1,5,9,0,0,3,1,0,0,0,0,0,0,3,1,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0
125,2740,659,8,1,0,163,122,19,2,0,0,3,8,0,32,0,2,0,15,0,4,0,1,0,16,3,0,28,11,218,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3288,722,4,1,0,142,128,11,2,0,0,6,12,0,21,0,6,0,21,0,2,0,2,0,21,2,0,41,62,229,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,3836,435,3,0,1,100,56,19,2,0,0,4,12,0,36,1,3,0,30,0,3,0,1,0,23,2,0,34,53,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
200,4306,466,8,0,1,141,66,24,4,0,1,0,22,0,45,0,5,0,24,0,5,0,1,0,19,4,0,48,23,22,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
225,4465,438,12,0,1,121,50,14,9,0,0,4,20,0,52,0,3,0,26,0,7,0,0,0,20,4,0,31,30,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
