"sample.depths","sample.ages","Acer.pensylvanicum","Alnus.incana.type","Alnus.viridis.type","Betula","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Juglans.cinerea","Larix","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Quercus","Salix","Ulmus","Juniperus.type","Poaceae","Abies.balsamea","Pinus.banksiana.type","Pinus.strobus","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Ambrosia.type","Artemisia","Populus.tremuloides.type","Thalictrum","Amaranthaceae","Acer.rubrum","Asteraceae.subf..Asteroideae.undiff.","Rumex.type","Acer.saccharum","Myrica.gale","Ericaceae","Populus.balsamifera.type","Rosaceae","Nemopanthus.mucronatus","Acer.spicatum","Taxus","Viburnum.alnifolium","Corylus.cornuta","Carya.ovata","Lonicera.involucrata","Castanea.dentata","Ribes","Tilia","Shepherdia.canadensis","Onagraceae","Caryophyllaceae","Plantago","Fabaceae","cf..Oxyria.digyna"
4,63,0.00473186119873817,0.0157728706624606,0.00946372239747634,0.435331230283912,0.00157728706624606,0.0362776025236593,0.00473186119873817,0.00315457413249211,0.00157728706624606,0.00315457413249211,0.00315457413249211,0.121451104100946,0.0536277602523659,0.0189274447949527,0.00157728706624606,0.00315457413249211,0.0299684542586751,0.00157728706624606,0.0504731861198738,0.0394321766561514,0.0914826498422713,0.0236593059936909,0.0173501577287066,0.028391167192429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,252,0.00170357751277683,0.0136286201022147,0.00170357751277683,0.48892674616695,0.00681431005110733,0.0153321976149915,0.00511073253833049,0.00170357751277683,0,0.00170357751277683,0,0.10732538330494,0.0459965928449744,0.0170357751277683,0,0.00681431005110733,0.0442930153321976,0.00170357751277683,0.0357751277683135,0.0340715502555366,0.0954003407155026,0.00340715502555366,0.0187393526405451,0.0442930153321976,0.00170357751277683,0.00170357751277683,0.00170357751277683,0.00170357751277683,0.00170357751277683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,755,0,0.0220183486238532,0.0110091743119266,0.381651376146789,0,0.036697247706422,0.0110091743119266,0,0,0.0055045871559633,0,0.143119266055046,0.0678899082568807,0.0073394495412844,0,0.0018348623853211,0.0165137614678899,0.0018348623853211,0.0311926605504587,0.0458715596330275,0.152293577981651,0.0018348623853211,0.0110091743119266,0.0440366972477064,0.0018348623853211,0,0,0,0,0.0018348623853211,0.0018348623853211,0.0018348623853211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1416,0.00494233937397035,0.00823723228995058,0,0.373970345963756,0,0.0362438220757825,0.00494233937397035,0.00164744645799012,0,0.00329489291598023,0,0.0840197693574959,0.110378912685338,0.0181219110378913,0,0.00494233937397035,0.0411861614497529,0,0.0296540362438221,0.0214168039538715,0.196046128500824,0.00329489291598023,0.00494233937397035,0.0395387149917628,0,0,0.00329489291598023,0,0.00329489291598023,0,0,0,0.00164744645799012,0.00494233937397035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,1731,0.00564971751412429,0.0150659133709981,0.00753295668549906,0.431261770244821,0,0.0376647834274953,0.00564971751412429,0.00376647834274953,0,0.00376647834274953,0,0.0847457627118644,0.0809792843691149,0.0169491525423729,0,0.00376647834274953,0.0602636534839925,0.00188323917137476,0.0207156308851224,0.0376647834274953,0.114877589453861,0.0112994350282486,0.0169491525423729,0.0263653483992467,0.00188323917137476,0,0.00188323917137476,0,0,0,0,0,0,0.00376647834274953,0.00188323917137476,0.00188323917137476,0.00188323917137476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,2171,0,0.0172143974960876,0.00312989045383412,0.353677621283255,0,0.0203442879499218,0.0109546165884194,0,0,0.00469483568075117,0,0.0610328638497653,0.0704225352112676,0.0125195618153365,0,0.00312989045383412,0.0907668231611894,0,0.0297339593114241,0.0140845070422535,0.237871674491393,0.0234741784037559,0.0140845070422535,0.0187793427230047,0,0.00156494522691706,0.00156494522691706,0,0.00156494522691706,0.00469483568075117,0,0,0.00156494522691706,0,0,0,0.00156494522691706,0.00156494522691706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,2643,0,0.0146103896103896,0.00811688311688312,0.404220779220779,0,0.0243506493506494,0.00974025974025974,0.00487012987012987,0,0.00811688311688312,0,0.0762987012987013,0.0762987012987013,0.012987012987013,0,0.00162337662337662,0.0957792207792208,0.00487012987012987,0.0194805194805195,0.0113636363636364,0.185064935064935,0,0.0162337662337662,0.0162337662337662,0.00162337662337662,0.00162337662337662,0.00162337662337662,0,0,0.00162337662337662,0,0,0.00162337662337662,0.00162337662337662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,3115,0.0013531799729364,0.0297699594046008,0.0094722598105548,0.418132611637348,0,0.0257104194857916,0.0040595399188092,0.0027063599458728,0.0013531799729364,0.0027063599458728,0,0.0717185385656292,0.0690121786197564,0.0108254397834912,0,0.0013531799729364,0.0730717185385656,0,0.0284167794316644,0.0040595399188092,0.205683355886333,0.0013531799729364,0.006765899864682,0.020297699594046,0.0013531799729364,0,0,0,0,0.0013531799729364,0,0,0.0027063599458728,0.0054127198917456,0,0,0,0,0.0013531799729364,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,3886,0.00306748466257669,0.0199386503067485,0.00613496932515337,0.378834355828221,0.00613496932515337,0.0230061349693252,0.00766871165644172,0.00153374233128834,0,0.00153374233128834,0,0.113496932515337,0.0751533742331288,0.00920245398773006,0,0.00153374233128834,0.0904907975460123,0,0.0276073619631902,0.0153374233128834,0.179447852760736,0,0.00766871165644172,0.0230061349693252,0,0.00306748466257669,0.00153374233128834,0,0,0.00153374233128834,0,0,0,0,0,0,0.00153374233128834,0.00153374233128834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,4059,0.00263504611330698,0.0118577075098814,0.00527009222661397,0.297760210803689,0,0.0223978919631094,0.00395256916996047,0,0.00131752305665349,0.00131752305665349,0,0.0487483530961792,0.0948616600790514,0.00790513833992095,0,0.00658761528326746,0,0.00131752305665349,0.0197628458498024,0,0.364953886693017,0,0.00790513833992095,0.0144927536231884,0.00131752305665349,0,0.00131752305665349,0,0,0.00131752305665349,0.00131752305665349,0.00131752305665349,0.00263504611330698,0,0.075098814229249,0,0,0,0,0.00131752305665349,0.00131752305665349,0,0,0,0,0,0,0,0,0,0,0,0
278,4373,0,0.0128865979381443,0.00257731958762887,0.270618556701031,0,0.0128865979381443,0.00515463917525773,0.00515463917525773,0,0,0,0.0592783505154639,0.108247422680412,0.0128865979381443,0,0.0103092783505155,0.0824742268041237,0,0.0128865979381443,0.0128865979381443,0.280927835051546,0.0721649484536082,0.0103092783505155,0.0206185567010309,0,0,0.00257731958762887,0,0,0.00257731958762887,0,0,0,0.00257731958762887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,4657,0.00484261501210654,0.0145278450363196,0.00484261501210654,0.343825665859564,0.00484261501210654,0.00726392251815981,0.0169491525423729,0,0,0.00484261501210654,0,0.108958837772397,0.0944309927360775,0,0,0.00968523002421308,0.104116222760291,0.00242130750605327,0.0193704600484262,0.0145278450363196,0.164648910411622,0.0411622276029056,0.00484261501210654,0.0217917675544794,0,0,0.00242130750605327,0,0,0,0.00242130750605327,0,0.00242130750605327,0.00242130750605327,0,0,0,0,0.00242130750605327,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,4987,0.00185873605947955,0.0185873605947955,0.00557620817843866,0.403345724907063,0.00185873605947955,0.00929368029739777,0.0111524163568773,0,0,0,0.00185873605947955,0.0390334572490706,0.102230483271375,0.016728624535316,0,0,0.0111524163568773,0,0.0371747211895911,0.00371747211895911,0.28996282527881,0.00743494423791822,0.00371747211895911,0.016728624535316,0,0,0,0,0,0,0,0,0,0.00371747211895911,0.00185873605947955,0,0,0,0,0.0111524163568773,0,0.00185873605947955,0,0,0,0,0,0,0,0,0,0,0
337,5302,0.00380952380952381,0.0247619047619048,0.00952380952380952,0.308571428571429,0.0019047619047619,0.0152380952380952,0.0133333333333333,0.0019047619047619,0,0,0,0.0761904761904762,0.0952380952380952,0.00571428571428571,0,0.00380952380952381,0.0114285714285714,0.00761904761904762,0.0361904761904762,0.0019047619047619,0.335238095238095,0.00952380952380952,0,0.0133333333333333,0,0,0.00380952380952381,0,0.00380952380952381,0,0,0,0.00380952380952381,0.00952380952380952,0,0,0.0019047619047619,0,0,0.0019047619047619,0,0,0,0,0,0,0,0,0,0,0,0,0
356,5601,0.00816326530612245,0.00408163265306122,0,0.428571428571429,0,0.0122448979591837,0.0142857142857143,0.00408163265306122,0,0.00204081632653061,0,0.036734693877551,0.102040816326531,0.0122448979591837,0.00204081632653061,0.00408163265306122,0,0.00204081632653061,0.0224489795918367,0,0.316326530612245,0,0.00408163265306122,0.0122448979591837,0.00204081632653061,0,0.00204081632653061,0,0,0.00204081632653061,0,0,0,0.00204081632653061,0,0,0,0,0,0.00408163265306122,0,0,0,0,0,0,0,0,0,0,0,0,0
376,5915,0.0072992700729927,0.0097323600973236,0.0048661800486618,0.396593673965937,0,0.0048661800486618,0.0024330900243309,0.0024330900243309,0,0,0,0.0389294403892944,0.111922141119221,0.0340632603406326,0,0.0072992700729927,0.0024330900243309,0,0.0194647201946472,0.0024330900243309,0.301703163017032,0.0048661800486618,0.0024330900243309,0.0097323600973236,0.0024330900243309,0,0.0072992700729927,0,0,0,0,0,0,0.0024330900243309,0,0,0,0.0048661800486618,0,0.0145985401459854,0,0.0024330900243309,0.0024330900243309,0,0,0,0,0,0,0,0,0,0
396,6230,0.00595238095238095,0.0138888888888889,0.00793650793650794,0.337301587301587,0.00595238095238095,0.0138888888888889,0.0158730158730159,0,0,0.00198412698412698,0.00198412698412698,0.0317460317460317,0.117063492063492,0.0198412698412698,0,0.00396825396825397,0.00198412698412698,0.00198412698412698,0.00992063492063492,0.00595238095238095,0.357142857142857,0,0,0.0198412698412698,0.00198412698412698,0.00198412698412698,0.00396825396825397,0,0,0.00595238095238095,0,0,0.00198412698412698,0.00396825396825397,0,0,0,0.00198412698412698,0,0,0,0.00396825396825397,0,0,0,0,0,0,0,0,0,0,0
416,6545,0.00572519083969466,0.0133587786259542,0.00954198473282443,0.389312977099237,0,0.00381679389312977,0.00381679389312977,0.00190839694656489,0,0.00190839694656489,0,0.0248091603053435,0.116412213740458,0.00190839694656489,0,0.00763358778625954,0.00190839694656489,0,0.0209923664122137,0,0.364503816793893,0.00190839694656489,0.00763358778625954,0,0,0,0.00381679389312977,0,0,0.00190839694656489,0.00190839694656489,0,0.00190839694656489,0,0,0,0,0,0,0.0133587786259542,0,0,0,0,0,0,0,0,0,0,0,0,0
436,6859,0,0.0192307692307692,0.00240384615384615,0.370192307692308,0,0,0.00480769230769231,0.00240384615384615,0,0,0,0.0408653846153846,0.108173076923077,0.0120192307692308,0,0.00721153846153846,0,0.00721153846153846,0.0192307692307692,0.00240384615384615,0.336538461538462,0,0.0360576923076923,0.0120192307692308,0,0.00240384615384615,0,0,0,0,0,0,0,0.00721153846153846,0,0,0,0,0,0.00721153846153846,0,0,0.00240384615384615,0,0,0,0,0,0,0,0,0,0
456,7174,0.00963391136801541,0.00578034682080925,0.00192678227360308,0.35645472061657,0,0.00192678227360308,0.00578034682080925,0.00192678227360308,0.00192678227360308,0.00385356454720617,0,0.0385356454720617,0.107899807321773,0.0154142581888247,0.00192678227360308,0.00770712909441233,0,0,0.0269749518304432,0.00385356454720617,0.375722543352601,0,0.00578034682080925,0.0115606936416185,0,0,0,0,0,0,0,0,0.00192678227360308,0.0115606936416185,0,0,0,0,0,0,0,0,0,0.00192678227360308,0,0,0,0,0,0,0,0,0
