"sample.depths","sample.ages","Abies","Betula","Cyperaceae","Ericaceae","Picea","Alnus","Ambrosia","Myrica","Pinus","Poaceae","Rosaceae","Quercus","Amaranthaceae","Iva.xanthifolia","Salix","Artemisia","Larix","Cupressaceae","Asteraceae.subf..Asteroideae.undiff.","Fagus","Fraxinus.americana","Populus","Ulmus","Asteraceae.subf..Cichorioideae","Plantago"
1,-14,0.0135135135135135,0.0675675675675676,0.283783783783784,0.0135135135135135,0.385135135135135,0.00675675675675676,0.0135135135135135,0.00675675675675676,0.182432432432432,0.0202702702702703,0.00675675675675676,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,48,0,0.0196078431372549,0.00980392156862745,0.0686274509803922,0.666666666666667,0.0294117647058824,0,0.00980392156862745,0.176470588235294,0,0,0.00980392156862745,0.00980392156862745,0,0,0,0,0,0,0,0,0,0,0,0
10,125,0,0.0977443609022556,0.203007518796992,0.0225563909774436,0.413533834586466,0,0.0225563909774436,0.0075187969924812,0.203007518796992,0.0075187969924812,0,0.0075187969924812,0.0075187969924812,0.0075187969924812,0,0,0,0,0,0,0,0,0,0,0
15,203,0,0.0743801652892562,0.12396694214876,0.00826446280991736,0.545454545454545,0,0.0413223140495868,0,0.190082644628099,0,0.00826446280991736,0,0,0,0.00826446280991736,0,0,0,0,0,0,0,0,0,0
19,265,0.00826446280991736,0.0578512396694215,0.148760330578512,0.0330578512396694,0.479338842975207,0.00826446280991736,0.00826446280991736,0.00826446280991736,0.214876033057851,0.00826446280991736,0,0.00826446280991736,0,0,0,0.00826446280991736,0.00826446280991736,0,0,0,0,0,0,0,0
21,296,0,0,0.0467289719626168,0.00934579439252336,0.654205607476635,0.0186915887850467,0.00934579439252336,0,0.224299065420561,0,0,0.00934579439252336,0,0,0,0.00934579439252336,0.0186915887850467,0,0,0,0,0,0,0,0
25,392,0.008130081300813,0.032520325203252,0.186991869918699,0,0.601626016260163,0,0,0,0.146341463414634,0,0,0,0,0,0,0,0.024390243902439,0,0,0,0,0,0,0,0
30,639,0.0087719298245614,0.0263157894736842,0.12280701754386,0.0087719298245614,0.631578947368421,0.0087719298245614,0,0,0.157894736842105,0,0,0,0,0,0,0,0.0175438596491228,0.0175438596491228,0,0,0,0,0,0,0
35,886,0.00909090909090909,0.0181818181818182,0.0727272727272727,0,0.636363636363636,0.00909090909090909,0,0.00909090909090909,0.172727272727273,0.0181818181818182,0,0.00909090909090909,0,0,0,0,0.0454545454545455,0,0,0,0,0,0,0,0
38,1035,0.0099009900990099,0.0297029702970297,0,0,0.663366336633663,0.0099009900990099,0,0,0.277227722772277,0,0,0,0,0,0,0,0,0,0.0099009900990099,0,0,0,0,0,0
40,1133,0.00869565217391304,0.0956521739130435,0.0782608695652174,0.0347826086956522,0.365217391304348,0.00869565217391304,0,0.0434782608695652,0.252173913043478,0.0434782608695652,0,0,0,0,0,0,0.0347826086956522,0,0.00869565217391304,0.0173913043478261,0.00869565217391304,0,0,0,0
45,1381,0.00980392156862745,0.00980392156862745,0.00980392156862745,0,0.784313725490196,0.00980392156862745,0.00980392156862745,0,0.156862745098039,0,0,0,0,0,0,0,0.00980392156862745,0,0,0,0,0,0,0,0
48,1529,0.0784313725490196,0,0,0,0.686274509803922,0.00980392156862745,0.00980392156862745,0,0.186274509803922,0,0,0,0,0,0,0,0.0196078431372549,0,0.00980392156862745,0,0,0,0,0,0
50,1628,0.0571428571428571,0.0666666666666667,0.00952380952380952,0.00952380952380952,0.59047619047619,0.019047619047619,0.00952380952380952,0,0.133333333333333,0.00952380952380952,0,0,0,0,0,0.00952380952380952,0.00952380952380952,0.0571428571428571,0.00952380952380952,0,0,0.00952380952380952,0,0,0
55,1875,0.0275229357798165,0.0275229357798165,0.0642201834862385,0,0.587155963302752,0.055045871559633,0,0,0.0825688073394495,0.0091743119266055,0,0.0091743119266055,0,0,0,0.0091743119266055,0,0.128440366972477,0,0,0,0,0,0,0
60,2078,0.0431034482758621,0.0517241379310345,0.120689655172414,0,0.525862068965517,0.0517241379310345,0,0,0.163793103448276,0.00862068965517241,0,0,0,0,0,0.00862068965517241,0.0258620689655172,0,0,0,0,0,0,0,0
65,2214,0.036036036036036,0.018018018018018,0.09009009009009,0,0.648648648648649,0.009009009009009,0,0,0.18018018018018,0.009009009009009,0,0,0,0,0,0,0.009009009009009,0,0,0,0,0,0,0,0
70,2351,0.0310077519379845,0.062015503875969,0.201550387596899,0,0.449612403100775,0.00775193798449612,0,0,0.155038759689922,0.0155038759689922,0,0,0.00775193798449612,0,0,0,0.062015503875969,0.00775193798449612,0,0,0,0,0,0,0
75,2488,0.00925925925925926,0.0185185185185185,0.0462962962962963,0,0.611111111111111,0.0185185185185185,0,0,0.138888888888889,0.00925925925925926,0,0.0277777777777778,0,0,0,0.0185185185185185,0.0833333333333333,0,0,0,0,0.00925925925925926,0.00925925925925926,0,0
80,2624,0,0.0666666666666667,0.158333333333333,0,0.441666666666667,0.0583333333333333,0,0,0.208333333333333,0.00833333333333333,0,0.0166666666666667,0,0,0,0,0.0333333333333333,0.00833333333333333,0,0,0,0,0,0,0
