"sample.depths","sample.ages","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Larix","Ostrya.Carpinus","Picea.mariana.type","Pinus.undiff.","Quercus","Salix","Poaceae","Rosaceae","Abies.balsamea","Acer.saccharum","Myrica.gale","Pinus.banksiana.type","Pinus.strobus","Polygonaceae","Picea.undiff.","Amaranthaceae","Platanus.occidentalis","Fagus","Asteraceae.subf..Asteroideae.undiff.","Fraxinus.nigra.type","Carya.ovata","Corylus.cornuta","Rhamnus.cathartica","Fraxinus.pennsylvanica.type","Populus.tremuloides.type","Taxus","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Acer.spicatum","Thalictrum","Ulmus","Populus.balsamifera.type","Juniperus.type","Viburnum.edule","Ranunculaceae.undiff.","Papaveraceae"
10,372,0.0145228215767635,0.240663900414938,0.00829875518672199,0.012448132780083,0.242738589211618,0.029045643153527,0.0103734439834025,0.00622406639004149,0.0020746887966805,0.302904564315353,0.0020746887966805,0.00622406639004149,0.0020746887966805,0.00829875518672199,0.0020746887966805,0.0020746887966805,0.0020746887966805,0.0145228215767635,0.0311203319502075,0.004149377593361,0.0020746887966805,0.053941908713693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,745,0.0191897654584222,0.247334754797441,0.00213219616204691,0.00639658848614072,0.217484008528785,0.0127931769722814,0.0213219616204691,0.0106609808102345,0,0.275053304904051,0.0533049040511727,0.00213219616204691,0.00426439232409382,0.00639658848614072,0,0.00213219616204691,0,0.00639658848614072,0.0341151385927505,0.0149253731343284,0,0.0597014925373134,0.00213219616204691,0.00213219616204691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1117,0.0163551401869159,0.273364485981308,0,0,0.247663551401869,0.00700934579439252,0.0210280373831776,0.00233644859813084,0,0.242990654205607,0.0677570093457944,0.00233644859813084,0.00700934579439252,0.00233644859813084,0,0.00467289719626168,0.00233644859813084,0.00934579439252336,0.0303738317757009,0.00700934579439252,0,0.0490654205607477,0,0,0.00467289719626168,0.00233644859813084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1489,0.0224215246636771,0.26457399103139,0,0.00224215246636771,0.228699551569507,0.015695067264574,0.015695067264574,0.0112107623318386,0,0.251121076233184,0.047085201793722,0.0112107623318386,0.00896860986547085,0.00224215246636771,0,0,0,0.0112107623318386,0.0224215246636771,0.00224215246636771,0,0.0650224215246637,0,0,0,0.00224215246636771,0.00224215246636771,0.00224215246636771,0.00896860986547085,0.00224215246636771,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1861,0.00446428571428571,0.270089285714286,0,0.00223214285714286,0.169642857142857,0.015625,0.015625,0.015625,0,0.305803571428571,0.0424107142857143,0.00669642857142857,0.00446428571428571,0.0133928571428571,0.00223214285714286,0.00223214285714286,0,0.0334821428571429,0.00892857142857143,0.00446428571428571,0,0.078125,0,0,0,0,0,0,0,0,0.00446428571428571,0,0,0,0,0,0,0,0,0,0,0,0
60,2234,0.0151228733459357,0.347826086956522,0,0.00378071833648393,0.173913043478261,0.0132325141776938,0.00756143667296786,0.00189035916824197,0,0.274102079395085,0.0226843100189036,0.00189035916824197,0.00756143667296786,0,0.00189035916824197,0.00189035916824197,0,0.0226843100189036,0.00756143667296786,0.00756143667296786,0,0.0737240075614367,0,0,0,0,0.00378071833648393,0,0,0,0.00189035916824197,0.0056710775047259,0.00189035916824197,0.00189035916824197,0,0,0,0,0,0,0,0,0
70,2606,0.0133333333333333,0.402222222222222,0,0.00222222222222222,0.128888888888889,0.0133333333333333,0.0133333333333333,0.00444444444444444,0,0.257777777777778,0.0311111111111111,0,0.00666666666666667,0.00888888888888889,0.00222222222222222,0.00222222222222222,0,0.0444444444444444,0.00666666666666667,0.00222222222222222,0,0.0533333333333333,0,0,0,0,0.00222222222222222,0,0,0,0.00222222222222222,0.00222222222222222,0,0,0,0,0,0,0,0,0,0,0
80,2956,0.0108108108108108,0.432432432432432,0.0027027027027027,0,0.181081081081081,0.0189189189189189,0.0243243243243243,0.0027027027027027,0,0.189189189189189,0.0135135135135135,0,0.0108108108108108,0.0162162162162162,0,0.0027027027027027,0,0.0135135135135135,0.0162162162162162,0.00810810810810811,0,0.0486486486486487,0,0,0,0.0027027027027027,0,0,0.0027027027027027,0,0,0,0,0,0.0027027027027027,0,0,0,0,0,0,0,0
90,3239,0.00733496332518337,0.545232273838631,0,0.00244498777506112,0.17359413202934,0.0097799511002445,0.0097799511002445,0,0,0.139364303178484,0.00733496332518337,0,0.00488997555012225,0.019559902200489,0,0.00244498777506112,0,0.0268948655256724,0.00244498777506112,0.00244498777506112,0,0.0415647921760391,0,0,0,0,0.00244498777506112,0,0,0,0,0,0,0.00244498777506112,0,0,0,0,0,0,0,0,0
100,3521,0.0117994100294985,0.460176991150442,0,0.00147492625368732,0.18141592920354,0.0147492625368732,0.0147492625368732,0.00294985250737463,0,0.205014749262537,0.00294985250737463,0.00294985250737463,0.0088495575221239,0.0117994100294985,0,0.00442477876106195,0,0.0191740412979351,0.0117994100294985,0.00147492625368732,0,0.0383480825958702,0,0,0.00147492625368732,0.00147492625368732,0,0,0,0,0,0,0,0.00147492625368732,0,0.00147492625368732,0,0,0,0,0,0,0
110,3804,0.00512820512820513,0.356410256410256,0,0,0.182051282051282,0.0153846153846154,0.00256410256410256,0.00512820512820513,0,0.3,0.00256410256410256,0.00769230769230769,0.0102564102564103,0.0153846153846154,0,0.00769230769230769,0,0.0358974358974359,0.0153846153846154,0,0,0.0384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,4087,0.0138248847926267,0.357910906298003,0,0.00460829493087558,0.23963133640553,0.00921658986175115,0.0245775729646697,0.00614439324116743,0,0.211981566820276,0.0153609831029186,0.00153609831029186,0.00614439324116743,0.00460829493087558,0,0.010752688172043,0,0.0122887864823349,0.00921658986175115,0.00921658986175115,0,0.0537634408602151,0,0,0.00153609831029186,0.00153609831029186,0.00153609831029186,0,0,0,0,0.00153609831029186,0,0,0,0,0.00153609831029186,0.00153609831029186,0,0,0,0,0
130,4390,0.0108108108108108,0.417567567567568,0.00135135135135135,0,0.291891891891892,0.0108108108108108,0.0243243243243243,0.0027027027027027,0.00135135135135135,0.117567567567568,0.00135135135135135,0,0.0121621621621622,0.0283783783783784,0,0.00675675675675676,0.00135135135135135,0.0148648648648649,0.00405405405405405,0.00540540540540541,0,0.0378378378378378,0.00135135135135135,0,0,0.00405405405405405,0,0.00135135135135135,0,0,0,0,0,0,0,0,0,0,0.00135135135135135,0.00135135135135135,0,0,0
140,4751,0.0205278592375367,0.44574780058651,0.00146627565982405,0,0.247800586510264,0.00733137829912024,0.0131964809384164,0.00733137829912024,0,0.151026392961877,0,0.00439882697947214,0.00733137829912024,0.0146627565982405,0,0.00146627565982405,0,0.0351906158357771,0.0102639296187683,0.00146627565982405,0,0.0234604105571848,0,0,0.00293255131964809,0.00146627565982405,0,0,0,0,0,0,0,0,0,0,0.00146627565982405,0,0,0,0.00146627565982405,0,0
150,5113,0.0137362637362637,0.414835164835165,0.00137362637362637,0.00412087912087912,0.288461538461538,0.0206043956043956,0.00274725274725275,0.00274725274725275,0,0.157967032967033,0.00412087912087912,0.00137362637362637,0.00961538461538462,0.00824175824175824,0.00274725274725275,0.00137362637362637,0,0.0137362637362637,0.00549450549450549,0.00274725274725275,0,0.0384615384615385,0.00137362637362637,0,0.00137362637362637,0.00137362637362637,0,0,0,0,0,0,0,0,0,0,0,0,0.00137362637362637,0,0,0,0
160,5475,0.00654664484451719,0.4189852700491,0.00490998363338789,0.00327332242225859,0.327332242225859,0.0212765957446809,0.0016366612111293,0.00490998363338789,0,0.126022913256956,0,0,0.0229132569558101,0.00981996726677578,0,0,0,0.016366612111293,0.00654664484451719,0.00327332242225859,0,0.0229132569558101,0.0016366612111293,0,0,0.0016366612111293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,5836,0.00444444444444444,0.380740740740741,0,0.00148148148148148,0.466666666666667,0.0133333333333333,0.00444444444444444,0.00444444444444444,0,0.077037037037037,0.00148148148148148,0,0.0118518518518519,0.00592592592592593,0,0,0,0.00444444444444444,0.00148148148148148,0.00296296296296296,0,0.0103703703703704,0.00148148148148148,0,0,0.00444444444444444,0,0,0,0,0,0,0.00148148148148148,0,0,0,0,0,0,0.00148148148148148,0,0,0
175,6017,0.00199203187250996,0.541832669322709,0.00199203187250996,0,0.372509960159363,0.0139442231075697,0.00597609561752988,0.00597609561752988,0,0.0219123505976096,0,0.00199203187250996,0.00398406374501992,0.00597609561752988,0,0,0,0,0.00199203187250996,0.0099601593625498,0,0.00398406374501992,0,0,0,0,0,0,0,0,0,0.00199203187250996,0,0,0,0,0,0.00199203187250996,0,0,0,0.00199203187250996,0
180,NA,0.00648298217179903,0.640194489465154,0,0.00162074554294976,0.270664505672609,0.00486223662884927,0.00810372771474878,0.00162074554294976,0,0.0194489465153971,0.00162074554294976,0.00162074554294976,0.00810372771474878,0,0,0,0,0.00324149108589951,0.00162074554294976,0.00324149108589951,0,0.0226904376012966,0.00162074554294976,0,0,0.00162074554294976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00162074554294976,0
190,NA,0.0379310344827586,0.513793103448276,0.00172413793103448,0.0103448275862069,0.246551724137931,0.00862068965517241,0.00517241379310345,0.00172413793103448,0,0.106896551724138,0,0,0.00862068965517241,0.0172413793103448,0,0,0,0.00689655172413793,0.00172413793103448,0.0103448275862069,0,0.0155172413793103,0.00172413793103448,0,0,0.00344827586206897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00172413793103448
