"sample.depths","sample.ages","upland.sum","Acer.negundo","Artemisia","Betula","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Fraxinus.undiff.","Poaceae.undiff.","Asteraceae.subf..Cichorioideae","Morus","Quercus","Rumex","Salix","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Xanthium","Alnus","Ambrosia","Fraxinus.americana.type","Pinus","Populus","Humulus","Iva.xanthifolia","Corylus","Picea","Ephedra.nevadensis.type","Brassicaceae","Sarcobatus.vermiculatus","Amorpha","Caryophyllaceae","Celtis","Plantago","Platanus","Zea.mays","Ostrya","Apiaceae","Dalea.purpurea","Iva.annua","Urtica","Ericaceae","Ephedra.torreyana.type","Ranunculus.subg..Batrachium","Lamiaceae","Fraxinus.nigra","Juglans.cinerea","Abies","Carya","Vitis","Ranunculus.undiff.","Acer.saccharum","Fagus","Tsuga","Tilia","Juglans.nigra","Rosaceae","Dalea.candida","Shepherdia.argentea","Shepherdia.canadensis","Larix","Onagraceae"
1,-15,447,1,59,7,47,1,22,7,87,2,1,13,65,1,1,4,9,1,3,69,7,32,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,368,3,36,6,59,1,9,7,76,2,0,15,2,2,0,9,14,0,13,68,7,24,3,0,6,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,31,354,2,51,2,72,1,7,2,50,0,0,14,0,1,0,5,10,1,9,94,2,17,0,0,7,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,81,288,0,34,0,51,0,13,6,39,2,0,7,0,4,0,4,14,0,0,64,6,16,0,0,0,0,0,0,0,16,0,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,132,332,1,68,2,59,2,10,2,47,0,0,13,0,3,1,11,6,0,9,61,2,24,1,0,0,1,2,0,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,183,265,1,54,7,30,0,12,3,48,0,0,12,0,2,0,8,3,0,2,40,3,38,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,208,345,0,70,5,23,1,29,2,99,0,0,17,1,0,0,18,8,1,5,20,2,34,1,1,2,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,234,344,2,112,7,13,0,25,6,61,0,0,12,0,1,1,9,8,1,3,41,6,26,0,0,0,0,0,0,4,1,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,284,282,1,83,3,8,0,13,4,35,0,0,13,0,2,1,17,7,0,2,41,4,47,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,386,336,0,52,7,17,1,30,15,53,0,1,20,1,5,1,18,10,0,7,34,15,38,0,1,1,1,1,0,0,3,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
