"sample.depths","sample.ages","Abies.balsamea","Acer.rubrum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium.filix.femina","Betula","Carya.cordiformis","Carya.ovata","Caryophyllaceae","Castanea.dentata","Corylus.cornuta","Cyperaceae","Diphasiastrum.alpinum.type","Drosera","Dryopteris","Epilobium","Ericaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Hypericum","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Larix","Lonicera.involucrata","Lycopodium.annotinum.type","Lycopodium.clavatum","Menyanthes.trifoliata","Myrica.gale","Nemopanthus.mucronatus","Nuphar","Ostrya.Carpinus","Oxytropis.maydelliana.type","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinaceae","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Poaceae","Polygonum.viviparum","Populus.balsamifera.type","Populus.tremuloides.type","Prunus","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Salix","Sambucus","Sarracenia.purpurea","Saxifraga.cernua.type","Shepherdia.canadensis","Sphagnum","Thalictrum","Tilia","Tsuga.canadensis","Typha","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete."
10,229,47,0,1,0,11,2,0,2,1,0,0,0,70,0,1,0,0,5,5,0,0,0,0,2,2,2,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,3,82,20,0,0,0,27,7,1,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,3,0,0,0,1,0,1
20,459,49,0,1,0,8,2,0,1,1,0,0,0,145,0,0,0,0,11,17,0,0,0,0,10,5,2,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,4,99,32,1,4,0,61,15,0,0,0,0,0,7,0,0,2,0,0,0,0,6,0,1,4,0,0,3,3,1,0
30,688,96,0,4,1,15,1,1,0,5,1,0,0,227,0,1,0,0,15,20,0,0,0,0,4,6,0,1,0,0,1,0,0,0,1,0,2,1,0,4,0,0,0,0,12,157,42,1,5,0,71,16,1,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,11,0,0,1,4,0,0
40,917,38,1,2,0,6,0,0,1,1,0,0,0,122,0,0,0,0,12,1,0,0,0,0,10,6,0,0,0,0,5,0,1,0,1,0,0,0,0,4,0,0,1,0,9,64,26,6,2,0,38,15,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0,0,8,0,0,0,2,0,1
50,1146,47,0,3,0,9,0,0,1,1,0,0,0,100,0,0,0,0,10,14,0,0,0,0,5,5,2,0,0,0,1,0,0,0,2,0,1,1,0,3,0,0,0,0,11,78,20,0,4,0,24,11,0,0,1,0,0,5,0,0,0,0,0,0,0,4,0,0,4,0,0,2,1,2,0
60,1376,53,0,2,0,1,1,0,0,1,0,0,0,84,0,0,0,0,5,4,0,0,0,0,6,1,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,1,0,20,70,13,0,3,0,31,6,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,1,5,0,0,0,1,1,0
80,1834,78,0,7,0,16,0,1,0,2,2,0,1,366,0,1,0,0,29,9,1,0,0,0,8,7,4,0,0,0,5,0,0,0,0,1,0,1,0,1,0,2,4,0,10,189,30,0,7,3,70,18,0,0,0,0,0,10,0,0,0,0,0,0,0,17,0,1,19,0,0,8,2,0,4
100,2293,34,0,0,1,11,3,0,0,2,2,0,0,245,0,0,0,0,16,1,0,1,0,0,0,5,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,5,64,22,0,3,0,37,12,1,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,6,0,0,0,2,0,0
120,2751,54,0,5,0,20,3,0,1,3,0,0,0,428,0,1,0,0,53,2,0,0,0,0,2,16,1,0,0,0,3,0,0,0,0,0,2,0,0,4,0,5,3,0,4,90,32,0,3,2,65,21,1,0,0,0,0,17,0,0,0,0,0,0,0,5,0,0,11,0,0,5,1,1,1
140,3210,30,0,0,0,10,3,0,1,1,1,0,0,218,0,0,0,0,18,3,0,0,0,0,2,4,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,5,4,0,1,64,24,1,9,1,47,21,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0
160,3669,54,0,4,0,6,0,0,1,0,1,0,0,220,0,0,0,0,11,22,0,0,0,0,24,8,3,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,4,0,12,40,9,0,2,0,49,9,0,0,0,1,0,5,0,0,0,0,1,0,0,31,0,0,3,0,0,3,0,2,0
180,4127,54,0,4,1,9,2,0,0,1,0,0,0,194,0,0,0,0,24,12,0,0,0,0,3,3,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,1,0,5,40,15,0,4,1,66,29,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0,1
200,4586,40,0,2,0,6,1,0,2,1,1,0,0,403,0,0,0,0,18,24,0,0,0,0,8,3,1,0,0,0,3,0,0,0,0,0,1,1,0,10,0,0,0,0,24,31,12,0,2,0,56,11,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,1,10,0,0,1,1,3,1
