"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Brasenia.schreberi","Carya","Celtis","Corylus","Cupressaceae","Cyperaceae","Dryas","Dryopteris.type","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Ilex","Impatiens","Indeterminable","Isoëtes","Iva.annua","Juglans.cinerea","Juglans.nigra","Larix","Liliaceae","Lycopodium.type","Morus","Myrica","Nuphar","Nymphaea","Osmunda","Ostrya","Picea","Pinus.det..P..banksiana.P..resinosa","Pinus.det..P..strobus","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Sanguisorba","Shepherdia.argentea","Shepherdia.canadensis","Sparganium.type","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Utricularia","Vitis","Xanthium"
600,9725,1,0,5,2,0,1,0,1,0,42,0,0,0,0,8,2,0,1,0,0,0,0,0,3,0,0,2,3,1,0,0,0,0,0,0,7,0,0,0,6,5,150,19,1,5,12,0,6,17,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,1,0,0,0
610,11192,1,0,0,1,1,0,3,0,0,43,0,0,1,0,14,3,0,0,0,0,0,1,1,5,0,0,1,10,0,0,0,2,0,0,0,6,0,0,0,8,8,135,11,1,1,10,1,2,31,0,0,0,2,0,0,0,0,0,0,0,0,1,0,10,1,0,0,0
620,NA,1,0,1,6,0,1,11,1,0,12,0,1,0,0,16,5,0,1,3,0,0,0,2,7,0,0,7,0,0,0,0,2,0,1,0,61,0,0,0,14,26,58,8,1,3,44,0,0,23,0,0,0,3,0,0,1,0,0,0,0,0,0,3,14,2,0,0,0
630,NA,0,0,1,0,0,2,4,2,0,7,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,10,0,1,1,1,0,0,0,0,0,0,0,0,0,15,37,0,0,1,1,0,0,17,0,0,0,2,0,0,1,0,1,0,0,0,0,0,4,3,0,0,0
640,NA,2,0,0,12,10,5,5,5,0,15,0,0,0,0,9,13,1,3,2,0,0,0,1,7,0,0,26,2,0,2,1,1,0,1,0,5,0,0,0,0,20,89,25,1,12,6,0,1,25,0,0,0,5,0,0,0,0,2,0,1,0,1,1,21,5,0,0,0
650,NA,0,0,1,0,2,0,0,1,0,0,0,2,0,0,2,6,0,1,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,11,47,0,0,0,1,0,3,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,6,0,0,0
660,NA,0,0,2,1,4,2,0,1,0,8,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,23,0,0,1,13,0,0,12,0,0,0,4,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0
670,NA,0,0,1,0,0,0,3,2,0,6,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,25,38,0,0,2,1,0,0,9,0,0,0,6,0,0,0,0,1,0,0,0,0,0,3,3,0,0,0
680,NA,0,0,0,3,0,1,1,2,0,7,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,18,30,0,0,1,0,0,0,21,0,0,0,7,0,0,0,0,1,0,0,0,0,0,8,2,0,0,0
720,NA,0,0,0,1,2,0,2,0,1,4,0,0,0,0,3,4,0,3,1,0,0,0,0,0,0,0,23,0,0,0,0,0,0,1,0,0,0,0,0,0,24,36,0,0,0,3,0,1,4,0,0,0,0,0,0,1,0,1,0,0,0,1,1,14,0,0,0,0
740,NA,0,0,1,1,1,0,2,0,0,2,0,0,0,0,3,2,0,1,2,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,26,50,0,0,0,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0
760,NA,0,0,1,3,0,1,1,1,0,6,0,0,0,0,3,2,0,9,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,2,0,0,0,0,0,0,21,46,0,0,0,2,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,8,2,0,0,0
780,NA,0,0,1,1,1,2,0,1,0,3,0,0,0,0,0,3,0,3,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,15,61,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,3,0,0,0
860,NA,2,0,0,6,0,0,1,3,0,9,0,0,0,0,2,4,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,20,30,0,0,0,0,0,2,6,0,0,0,5,1,0,0,0,1,0,0,0,0,0,11,1,0,0,0
940,NA,0,0,0,0,1,0,0,1,0,4,0,1,0,0,3,16,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,21,37,0,0,2,2,0,0,5,1,0,0,1,0,1,1,0,1,0,0,0,0,0,3,2,0,0,0
1060,NA,0,0,0,1,0,0,3,0,0,6,0,0,0,0,2,7,0,8,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,36,21,0,0,2,1,0,0,15,0,0,0,3,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0
