"sample.depths","sample.ages","upland.sum","Alnus.incana.type","Alnus.viridis.type","Betula","Cyperaceae","Larix","Picea.mariana.type","Pinus.undiff.","Quercus","Asteraceae.subf..Asteroideae.undiff.","Juniperus.type","Poaceae","Pinus.banksiana.type","Juniperus.communis.Thuja.occidentalis.type","Picea.undiff.","Artemisia","Ericaceae","Fraxinus.pennsylvanica.type","Ulmus","Onagraceae","Abies.balsamea","Acer.saccharum","Myrica.gale","Pinus.strobus","Ambrosia.type","Rosaceae","Salix","Tsuga.canadensis","Fraxinus.nigra.type","Corylus.cornuta","Populus.tremuloides.type","Thalictrum","Castanea.dentata","Caryophyllaceae","Ostrya.Carpinus","Acer.rubrum","Ranunculaceae.undiff.","Amaranthaceae","Populus.balsamifera.type","Picea.glauca.type","Taxus","Pinus.resinosa.type","Shepherdia.canadensis","Carya.ovata","Acer.spicatum","Fagus","Juglans.cinerea","Saxifraga.oppositifolia.type"
5,90,407,7,88,28,7,7,119,21,1,3,3,2,73,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,450,579,15,110,42,3,3,206,28,0,0,2,1,106,1,49,3,2,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,900,456,9,60,50,4,1,191,23,2,2,0,0,88,0,21,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1349,404,15,94,43,0,2,114,15,0,0,1,1,72,0,37,2,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1799,549,24,116,57,5,0,197,18,0,0,0,0,96,0,20,5,2,0,0,0,0,0,0,6,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2249,497,29,156,53,3,3,97,26,2,0,1,1,76,0,32,2,1,0,0,1,0,0,0,9,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2699,741,24,185,55,2,1,265,19,2,0,0,1,138,0,28,5,1,2,1,0,0,0,0,5,1,0,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,3148,555,23,145,66,2,4,176,10,3,2,1,1,59,0,42,4,4,0,0,0,1,0,1,5,0,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,3537,378,16,91,64,4,3,113,11,3,0,1,0,42,0,16,0,2,0,0,0,0,0,2,8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
225,3781,474,13,162,91,2,0,116,7,0,1,1,0,28,1,32,0,1,0,0,0,0,1,1,5,2,0,3,1,0,1,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0
250,4026,503,9,152,97,5,4,137,12,2,0,4,0,41,1,27,2,2,0,2,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
275,4271,860,18,196,200,8,5,304,5,3,0,4,3,34,1,52,5,4,0,1,0,0,0,2,8,2,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,4516,496,14,117,29,4,5,226,8,3,0,0,2,21,4,42,3,3,0,0,0,1,0,0,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
325,4876,452,1,122,79,3,6,149,5,0,0,0,4,33,2,36,0,2,0,1,0,0,0,1,4,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
350,5504,424,12,100,111,3,3,126,2,0,0,0,0,15,3,29,3,1,0,0,0,1,0,3,3,0,0,1,0,0,1,0,0,0,2,0,0,0,1,0,4,0,0,0,0,0,0,0,0
375,6132,583,2,172,104,1,5,223,2,0,1,2,2,11,1,28,4,0,0,1,0,0,0,2,7,0,0,0,0,1,1,7,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0
400,6761,603,6,197,118,1,3,202,3,2,0,3,1,10,1,26,3,3,0,1,1,0,0,3,2,1,0,3,0,2,0,3,0,0,0,0,0,0,3,2,3,0,0,0,0,0,0,0,0
425,7389,411,6,140,71,5,0,129,1,0,0,5,1,8,1,10,3,1,0,1,0,0,0,8,0,2,0,0,0,0,0,13,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0
440,NA,600,2,194,76,7,12,60,4,0,0,22,3,10,7,5,3,3,0,1,0,0,0,2,12,2,2,14,0,3,2,132,0,0,0,1,0,1,1,8,4,1,0,5,1,0,0,0,0
450,NA,664,7,104,76,38,6,78,8,6,6,4,7,58,0,19,28,10,0,1,1,0,1,2,15,5,0,24,0,0,1,133,0,0,1,3,0,1,3,12,0,0,0,4,0,1,1,0,0
460,NA,557,3,105,82,23,2,52,41,6,4,0,11,95,0,20,37,1,1,2,0,1,0,2,22,26,0,4,0,2,0,3,0,0,2,1,0,0,8,0,1,0,0,0,0,0,0,0,0
475,NA,520,2,40,52,20,6,95,74,1,9,1,5,102,0,62,18,1,1,5,0,0,0,1,7,7,1,2,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0
485,NA,452,0,69,47,15,0,69,56,4,1,1,6,87,0,31,17,0,1,2,0,0,1,2,12,14,0,4,0,4,1,3,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0
500,NA,502,3,118,89,20,0,40,25,6,2,4,9,89,2,7,32,0,0,6,0,0,0,0,7,23,0,4,0,3,0,0,0,0,0,0,0,0,10,1,0,0,0,0,1,0,0,0,1
