"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae.undiff.","Ambrosia.type","Anacardiaceae","Apiaceae","Aquatics.undiff.","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brasenia.schreberi","Brassicaceae","Carya","Celtis","Cornus","Corylus","Cupressaceae","Cyperaceae","Elaeagnaceae","Ephedra","Ericaceae","Fabaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Ilex","Juglans","Lamiaceae","Larix","Liquidambar","Lycopodium.type","Menyanthes.trifoliata","Morus","Nuphar","Nymphaeaceae.undiff.","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae","Populus","Quercus","Rosaceae","Sagittaria","Salix","Sarcobatus.vermiculatus","Sparganium.type","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Urtica.type","Vitis"
10,104,0,6,2,6,169,34,0,0,1,10,2,3,0,4,2,0,1,2,21,0,0,0,0,0,0,0,16,0,1,6,0,0,0,0,0,5,3,0,0,4,0,2,28,0,76,0,0,3,0,2,0,0,1,2,0,5,0,2
20,198,1,0,4,2,24,0,1,0,3,4,5,0,0,5,0,0,1,0,16,0,0,13,0,3,2,0,0,0,0,3,1,0,1,2,0,0,0,0,3,7,14,7,15,0,164,0,0,1,0,3,1,1,2,1,6,3,0,1
40,385,0,3,3,0,12,4,0,0,4,3,48,0,0,3,5,0,7,0,21,0,0,5,1,2,1,2,0,1,1,6,2,0,0,0,0,0,5,1,3,6,13,7,12,0,157,0,0,2,0,4,0,0,0,0,6,4,0,0
60,570,0,2,3,3,10,1,0,0,1,3,12,0,0,6,4,0,4,0,15,0,0,5,0,5,1,0,0,1,0,2,2,0,0,0,0,0,5,0,5,5,11,5,14,2,182,0,1,1,0,1,0,0,4,0,8,2,1,0
80,751,0,2,4,4,7,0,0,0,2,4,24,0,0,9,2,0,5,2,25,1,0,1,0,0,1,5,0,2,0,3,4,0,0,0,0,0,4,1,3,13,11,2,17,0,188,0,0,0,0,1,0,0,2,6,11,2,0,0
100,927,0,3,4,3,9,0,0,0,5,6,8,0,0,10,0,0,6,0,37,0,0,0,0,2,3,1,0,3,1,0,0,0,0,0,0,0,4,2,0,8,15,3,17,0,181,2,1,0,0,5,0,2,2,3,10,8,0,0
120,1095,0,4,3,0,14,0,0,0,2,1,6,0,0,6,0,0,3,2,59,0,0,1,0,3,4,1,0,1,0,1,0,0,2,0,0,0,3,1,2,12,13,0,14,0,209,0,0,2,0,3,0,0,3,2,3,5,0,0
140,1258,0,4,4,0,13,0,0,1,7,6,4,0,0,6,3,0,0,5,47,0,0,0,0,2,5,0,0,4,1,0,0,0,0,0,0,0,1,0,2,5,21,6,19,0,173,0,3,3,0,4,0,0,2,1,7,8,0,0
160,1418,0,2,1,2,14,0,0,0,1,9,4,4,0,6,2,0,1,1,75,0,0,0,0,0,1,0,0,2,4,1,0,1,0,0,1,0,4,2,1,8,17,2,15,3,188,0,0,3,0,2,1,0,2,0,4,5,0,1
180,1580,0,0,3,4,8,0,0,0,1,4,4,33,0,8,1,0,1,6,8,0,0,0,0,3,5,3,0,1,0,1,0,0,0,0,1,11,4,1,0,5,13,1,41,0,181,0,0,0,0,1,0,0,0,0,6,6,0,2
200,1747,0,2,3,3,9,0,0,0,2,4,6,28,0,5,5,0,2,3,20,0,0,0,0,2,1,0,0,4,0,0,0,0,0,0,5,0,2,0,4,8,10,3,18,3,206,0,0,0,0,0,1,1,0,0,5,5,0,0
220,1922,0,1,1,0,13,0,0,0,4,7,6,29,0,10,1,0,0,4,12,0,0,0,0,1,3,0,0,4,0,0,1,0,0,1,4,7,2,0,1,5,11,4,13,1,220,0,0,2,0,1,0,1,1,0,9,5,0,0
240,2110,0,1,5,1,10,0,1,0,1,5,5,16,0,6,0,0,1,1,16,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,3,4,1,0,3,7,2,19,2,217,0,1,0,0,0,1,0,0,1,4,7,0,0
260,2312,0,0,1,2,15,0,0,0,1,6,6,19,0,8,2,0,6,4,8,0,0,0,0,1,4,1,0,2,1,0,1,0,0,0,3,2,7,0,0,7,13,5,13,2,190,0,2,0,0,0,0,0,0,0,10,6,0,0
280,2534,0,1,3,3,15,0,1,0,4,2,5,1,0,8,1,0,2,2,8,0,0,0,0,1,6,2,0,5,0,0,0,0,0,0,0,3,1,1,1,7,6,3,15,2,195,0,0,1,0,4,0,1,0,0,8,3,0,0
300,2774,0,2,1,1,15,0,0,0,5,6,6,26,0,11,0,0,0,4,13,0,0,0,0,1,2,0,0,3,0,0,1,0,0,0,4,1,3,0,3,18,14,2,14,2,179,0,0,0,0,1,0,0,0,1,12,5,0,0
320,3030,0,1,2,3,27,0,0,0,3,1,1,0,0,10,0,0,3,2,14,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,1,1,3,0,2,7,11,3,21,1,185,0,0,1,0,0,0,1,0,0,7,5,0,0
340,3298,0,0,2,4,15,0,0,0,6,2,4,0,0,13,0,0,1,3,7,0,0,0,0,0,3,0,0,3,0,1,0,0,0,1,4,3,2,0,2,5,12,6,16,0,201,0,0,0,0,0,0,0,0,0,3,4,0,1
360,3576,0,1,1,6,26,0,0,1,4,4,5,0,0,2,1,0,0,7,19,0,0,0,0,3,1,1,0,2,0,0,0,0,0,0,1,4,4,0,2,5,8,9,15,2,186,1,0,3,0,2,0,1,1,4,13,7,0,0
380,3862,0,4,3,3,15,0,0,0,1,6,2,0,0,9,0,0,1,2,11,0,0,0,0,4,6,0,0,2,0,0,1,0,0,0,10,13,2,0,2,2,7,1,12,2,209,1,0,1,0,0,0,0,0,1,15,5,0,0
400,4151,0,1,1,3,21,0,0,0,3,7,2,0,3,9,2,0,2,2,14,0,0,0,0,1,4,0,0,3,0,0,0,0,0,0,6,1,2,0,0,3,5,2,21,2,179,0,0,0,0,1,0,0,0,0,15,7,0,0
420,4441,0,1,2,4,19,1,0,0,6,2,0,0,0,6,0,1,1,1,10,0,0,0,0,0,1,2,0,4,0,0,0,0,0,0,2,1,0,0,2,4,6,5,27,0,189,0,1,1,0,0,0,0,0,0,14,7,0,0
440,4729,0,3,0,4,9,0,0,0,3,2,0,0,0,8,0,0,1,4,12,0,1,0,0,0,2,1,0,1,0,0,1,0,0,0,0,2,2,1,4,4,16,0,12,0,121,0,0,0,0,1,1,1,4,0,1,6,0,0
450,4871,0,4,0,2,16,0,1,0,2,5,0,1,0,8,1,0,0,4,16,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,2,1,1,2,5,15,2,7,3,123,0,0,2,0,2,0,0,0,0,5,7,0,0
460,5012,0,1,0,1,9,0,0,0,0,1,2,0,0,9,0,0,1,6,9,0,0,0,0,0,7,2,0,3,0,0,0,0,0,0,2,1,1,1,2,11,20,6,5,1,101,0,0,1,0,0,0,1,0,0,6,6,0,0
470,5151,0,3,2,4,13,0,0,0,3,2,0,1,0,9,1,0,0,3,11,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0,1,1,4,0,0,2,13,6,6,0,208,0,0,2,0,1,0,1,0,1,10,3,0,0
480,5287,0,2,4,3,21,0,0,0,2,1,0,0,0,11,0,0,3,5,8,0,0,0,0,2,4,2,0,1,0,0,0,0,0,1,1,0,6,0,2,3,4,0,15,0,203,0,0,1,0,1,0,1,1,0,11,5,0,0
500,5553,0,5,1,1,14,0,0,0,7,5,2,0,0,18,1,0,0,3,3,0,0,0,0,0,2,2,0,3,0,2,0,0,0,0,2,0,6,1,1,3,10,8,9,0,188,0,0,1,0,3,0,0,0,0,21,7,0,0
520,5811,1,6,1,2,11,0,0,0,4,2,0,0,0,15,0,0,3,7,8,0,0,1,0,1,4,1,0,4,0,1,0,0,0,0,4,0,3,1,0,5,15,8,17,0,149,1,0,3,0,4,0,3,0,0,28,5,0,0
540,6069,0,8,2,3,10,0,0,0,3,2,2,0,0,18,0,0,3,4,8,0,1,0,0,0,4,0,0,4,0,0,0,0,0,1,0,0,6,0,3,6,11,8,13,0,171,0,2,1,0,1,0,1,1,0,41,3,0,0
560,6332,0,3,1,3,13,0,0,0,1,3,0,0,0,20,1,0,1,0,3,0,0,0,0,3,5,2,0,1,0,0,0,0,0,0,2,0,6,1,2,9,6,7,6,1,169,0,0,1,0,2,0,2,0,0,29,5,0,0
580,6606,0,2,2,2,8,0,0,0,3,3,0,0,0,15,2,0,1,5,9,0,1,0,0,4,3,0,0,7,0,1,1,0,0,0,1,0,16,0,0,4,12,4,11,0,183,0,0,2,1,1,1,2,0,0,35,5,0,0
600,6897,1,5,1,2,5,0,0,0,1,1,1,0,0,17,0,0,1,0,4,0,0,0,0,1,3,3,0,1,0,0,0,0,0,1,0,0,11,3,0,3,8,3,12,0,193,0,0,1,0,2,1,1,0,1,39,2,0,0
