"sample.depths","sample.ages","Abies.balsamea","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Caprifoliaceae.undiff.","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","Chamaedaphne.calyculata","Cornus.canadensis","Corylus.cornuta","Cyperaceae","Elymus.type","Equisetum","Ericaceae.undiff.","Fagus","Fraxinus.americana.type","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Ilex.Nemopanthus","Indeterminable","Juglans.cinerea","Juncaceae","Juniperus.communis.Thuja.occidentalis.type","Kalmia","Larix","Ledum.Chamaedaphne.calyculata","Lycopodium.annotinum","Lycopodium.clavatum","Menyanthes.trifoliata","Morus.rubra.type","Nuphar","Ophioglossum","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Platanus.occidentalis","Poaceae.undiff.","Populus.tremuloides.type","Potamogetonaceae.Triglochin","Prunus.virginiana","Pyrola","Quercus","Rhamnus.alnifolia.R..frangula","Rhododendron.canadense","Rosaceae.undiff.","Rubiaceae","Rumex.type.undiff.","Rumex.acetosa.type","Salix","Sarracenia.purpurea","Shepherdia.canadensis","Sphagnum","Taxus","Tilia","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..alete.","Unknown..monolete.","Unknown..trilete.","Vaccinium.macrocarpon.type","Vaccinium.oxycoccos","Viburnum.nudum"
20,265,7,0,2,0,4,1,2,19,0,3,3,0,68,0,0,0,0,0,0,2,0,11,51,0,0,4,4,0,1,0,0,0,0,0,0,0,0,6,4,1,0,4,0,0,0,1,0,0,0,12,15,14,3,90,145,0,9,1,4,0,0,10,0,2,0,0,0,3,1,0,0,7,0,3,85,0,0,2,0,2,13,10,1,3,0
40,531,3,0,1,3,3,0,1,1,0,1,1,0,92,0,0,2,0,0,0,6,0,1,35,0,0,2,10,0,4,0,1,0,1,0,0,0,3,6,0,0,0,2,0,0,0,0,0,0,0,10,5,8,17,42,176,0,0,0,0,0,0,7,0,0,0,1,0,0,3,0,0,5,0,2,109,0,0,3,0,0,10,13,0,0,0
60,967,16,3,0,13,5,3,1,1,0,0,1,0,121,0,2,0,0,0,0,7,0,1,68,0,0,4,21,2,3,0,2,0,2,0,0,0,0,21,1,0,0,0,0,0,0,3,3,0,0,18,7,13,5,52,165,0,1,2,0,0,0,24,0,0,0,0,1,0,1,1,0,10,0,5,189,1,0,3,0,1,4,2,0,1,1
80,1574,9,2,5,8,3,0,0,1,0,0,0,0,74,0,0,0,1,0,0,3,0,3,32,0,0,0,7,0,4,1,0,0,2,1,0,1,1,37,0,0,0,0,0,0,0,1,2,1,0,9,5,14,4,81,162,0,5,0,0,0,0,18,0,0,0,1,1,0,2,0,0,23,0,4,155,0,0,6,0,1,17,0,0,3,0
100,2181,7,0,10,1,5,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,48,0,3,2,0,1,4,1,3,0,2,0,0,8,0,67,0,3,0,1,0,0,0,3,4,1,0,12,6,7,1,117,173,0,3,0,3,0,0,10,0,0,1,0,1,0,1,0,0,23,2,3,230,0,0,6,0,2,8,2,0,0,0
120,2789,6,0,9,1,5,0,0,2,0,0,0,0,85,0,0,1,0,0,0,1,0,1,52,0,0,1,18,0,5,1,0,1,4,2,0,5,2,26,0,0,0,4,0,0,0,4,0,0,0,3,4,3,1,78,136,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0,0,6,0,0,127,0,0,16,0,0,5,1,0,0,0
140,3159,6,1,4,1,2,0,0,0,0,0,0,0,98,0,1,4,0,0,0,1,0,0,32,0,0,0,16,0,3,1,0,0,3,0,0,5,0,46,0,0,1,3,0,0,0,0,13,2,0,7,1,5,7,53,60,0,1,0,1,0,0,15,0,0,0,0,0,0,2,0,0,0,0,3,112,1,0,6,0,0,8,1,0,0,0
160,3293,4,0,0,9,4,0,0,0,0,0,0,0,27,0,0,0,3,0,0,0,0,0,8,0,0,0,3,0,0,0,1,0,0,0,0,0,0,56,0,0,1,1,0,0,0,2,119,1,0,9,4,15,1,138,120,0,2,0,0,0,0,5,0,0,0,0,2,0,0,0,0,24,0,0,91,0,0,2,0,5,46,20,0,0,0
190,3493,3,0,1,1,0,0,0,0,0,0,0,0,16,0,0,1,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,15,49,0,0,2,2,0,1,93,79,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,1,0,55,0,0,1,0,0,11,3,0,0,0
210,3626,4,0,0,2,3,0,0,0,0,0,1,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,14,549,0,0,2,0,8,0,169,123,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,3,17,0,0,1,0,1,28,33,0,0,0
220,3767,3,0,3,4,8,0,0,0,0,0,1,0,19,0,0,0,0,0,0,1,0,1,6,0,1,0,0,0,2,5,1,0,0,0,0,1,0,65,0,0,0,1,0,0,0,89,488,0,0,4,4,9,2,202,119,0,3,0,0,0,0,11,0,0,0,0,0,0,1,0,0,4,0,1,16,0,0,1,0,0,12,11,0,0,0
240,4048,12,1,4,10,4,0,0,0,0,0,0,1,43,0,2,0,0,0,0,0,0,0,14,0,1,1,7,0,3,0,2,0,0,0,0,1,0,68,0,3,1,0,0,0,0,54,599,0,2,5,0,10,2,327,77,0,4,0,0,0,0,14,0,0,0,0,0,0,3,0,0,4,0,2,9,0,0,6,2,1,40,16,0,0,0
